test_id,request_name,feature,description,expected_status,expect_array,expect_empty,expect_count,expect_field,expect_field_type,search,id,categoryName,expected_owner_user_id,expected_role
TC-FR05-33,GET /api/products?search=iPhone'--,FR05,SQL comment injection does not manipulate search scope,200,true,,,,,iPhone'--,,,,
TC-FR05-34,GET /api/products/:id,FR05,Existing odd product id returns numeric price type,200,,,,price,number,,1,,,
TC-FR05-35,GET /api/products/:id,FR05,Existing even product id returns string price type,200,,,,price,string,,2,,,
TC-FR08-01,POST /api/login,FR08,Normal user login succeeds with token and user object,200,,,,token;user,token:string;user:object,,,,,
TC-FR08-02,POST /api/login,FR08,Admin login succeeds and returns admin role,200,,,,token;user;user.role,token:string;user:object;user.role:string,,,,,admin
TC-FR08-03,POST /api/login,FR08,Wrong password is rejected without token,401,,,,token,absent,,,,,
TC-FR08-04,POST /api/login,FR08,Unknown email is rejected without token,401,,,,token,absent,,,,,
TC-FR08-05,GET /api/cart,FR08,Cart request without Authorization is rejected,401,,,,,,,,,,
TC-FR08-06,POST /api/cart,FR08,Add-to-cart request without Authorization is rejected,401,,,,,,,,,,
TC-FR08-07,POST /api/checkout,FR08,Checkout request without Authorization is rejected,401,,,,,,,,,,
TC-FR08-08,GET /api/cart,FR08,Malformed or invalid JWT returns Forbidden,403,,,,,,,,,,
TC-FR08-09,GET /api/cart,FR08,New user with empty cart gets an empty array,200,true,true,0,,,,,,,
TC-FR08-10,POST /api/cart,FR08,Add one valid product to cart succeeds,200,,,,message,string,,,,,
TC-FR08-11,GET /api/cart,FR08,Cart contains the item previously added,200,true,false,1,,,,1,,,
TC-FR08-12,POST /api/cart,FR08,Adding two different products results in both items in cart,200,true,false,2,,,,,,,
TC-FR08-13,GET /api/cart,FR08,Cart data is isolated per user,200,true,,,,,,,,,
TC-FR08-14,POST /api/cart,FR08,Quantity zero is accepted by current implementation; flag validation gap,200,,,,,,,,,,
TC-FR08-15,POST /api/cart,FR08,Negative quantity is accepted; critical validation defect,200,,,,,,,,,,
TC-FR08-16,POST /api/cart,FR08,Extremely large quantity is accepted without limit,200,,,,,,,,,,
TC-FR08-17,POST /api/cart,FR08,Nonexistent product id is accepted; critical validation defect,200,,,,id,number,,999999,,,
TC-FR08-18,POST /api/cart,FR08,Forged product price is accepted; critical integrity defect,200,,,,price,number,,1,,,
TC-FR08-19,POST /api/checkout,FR08,Valid checkout creates an order and returns orderId,201,,,,message;orderId,message:string;orderId:number,,,,,
TC-FR08-20,GET /api/orders/my-orders,FR08,New order starts with pending status,200,true,false,1,status,string,,,,,
TC-FR08-21,GET /api/orders/my-orders,FR08,Order total_amount equals request value,200,true,,,total_amount,number,,,,,
TC-FR08-22,GET /api/orders/my-orders,FR08,Order shipping_address equals request value,200,true,,,shipping_address,string,,,,,
TC-FR08-23,GET /api/orders/:id,FR08,Returned orderId can be queried successfully,200,,,,id,number,,<created order id>,,,
TC-FR08-24,POST /api/checkout,FR08,Checkout missing total_amount records actual server behavior,200,,,,,,,,,,
TC-FR08-25,POST /api/checkout,FR08,Checkout missing shipping_address records actual server behavior,200,,,,,,,,,,
TC-FR08-26,POST /api/checkout,FR08,Zero total_amount is accepted; flag business validation gap,200,,,,,,,,,,
TC-FR08-27,POST /api/checkout,FR08,Negative total_amount is accepted; critical defect,200,,,,,,,,,,
TC-FR08-28,POST /api/checkout,FR08,Non-numeric total_amount records 500 or invalid insert behavior,500/OBSERVE,,,,,,,,,,
TC-FR08-29,POST /api/checkout,FR08,Empty shipping_address is accepted; flag validation gap,200,,,,shipping_address,string,,,,,
TC-FR08-30,POST /api/checkout,FR08,Extra status/user_id fields are ignored; user_id comes from JWT and status remains pending,200,,,,user_id;status,user_id:number;status:string,,,,,
TC-FR08-31,POST /api/checkout,FR08,Checkout succeeds even when cart is empty; critical business defect,200,,,,,,,,,,
TC-FR08-32,POST /api/checkout,FR08,Server accepts client-supplied total instead of recomputing from cart,200,,,,total_amount,number,,,,,
TC-FR08-33,GET /api/cart,FR08,Cart is not cleared after successful checkout,200,true,false,,,,,,,,
TC-FR08-34,GET /api/orders/:id,FR08,Unknown order id returns Order not found,404,,,,error,string,,999999,,,
TC-FR08-35,GET /api/orders/:id,FR08,User A can access User B order; expected test detects IDOR/BOLA,200,,,,id;user_id;total_amount;shipping_address,id:number;user_id:number;total_amount:number;shipping_address:string,,<orderId B>,,<userB_id>,
TC-FR08-36,POST /api/checkout,FR08,Very large total_amount records behavior without overflow/crash,200,,,,,,,,,,
TC-FR08-37,POST /api/checkout,FR08,Null shipping_address records behavior explicitly,200,,,,shipping_address,null/string,,,,,
TC-FR08-38,POST /api/checkout,FR08,5000-character shipping_address is handled without 500/timeout,200,,,,shipping_address,string,,,,,
TC-FR08-39,POST /api/cart,FR08,Forged product name is accepted; critical data-integrity defect,200,,,,name,string,,1,,,
TC-FR08-40,POST /api/checkout,FR08,Malformed JSON body returns a client error rather than unexplained 500,400,,,,,,,,,,
TC-FR08-41,PUT /api/orders/:id/cancel,FR08,Cancel request without Authorization is rejected,401,,,,,,,1,,,
TC-FR08-42,PUT /api/orders/:id/cancel,FR08,Cancel request with invalid/malformed token is forbidden,403,,,,,,,1,,,
TC-FR08-43,PUT /api/orders/:id/cancel,FR08,Cancel an existing pending order (own) records actual behavior; response body not specified by spec,200/OBSERVE,,,,status,string,,<own pending orderId>,,,
TC-FR08-44,PUT /api/orders/:id/cancel,FR08,Cancel a nonexistent order id records actual behavior; expected 404 if checked,404/OBSERVE,,,,,,,999999,,,
TC-FR08-45,PUT /api/orders/:id/cancel,FR08,User A attempts to cancel User B's order; expected test detects IDOR — order should not be cancellable/visible cross-user,200/OBSERVE,,,,id;user_id,id:number;user_id:number,,<orderId B>,,<userB_id>,
TC-FR08-46,PUT /api/orders/:id/cancel,FR08,Cancel an order that is not in 'pending' status (e.g. already canceled/shipped) should be rejected per spec; flag defect if accepted,400/OBSERVE,,,,,,,<non-pending orderId>,,,
TC-FR14-01,GET /api/categories,FR14,Get category list,200,true,false,3,,,,,,,
TC-FR14-02,GET /api/categories,FR14,Response body is a JSON array,200,true,,,,,,,,,
TC-FR14-03,GET /api/categories,FR14,Category data matches seed data,200,true,false,3,id;name,id:number;name:string,,,,,
TC-FR14-04,GET /api/categories,FR14,Each category contains only id:number and name:string,200,true,,,id;name,id:number;name:string,,,,,
TC-FR14-05,GET /api/categories,FR14,Categories are publicly readable without Authorization,200,true,false,3,,,,,,,
TC-FR14-06,POST /api/categories,FR14,Admin creates a valid category successfully,200,,,,message;id,message:string;id:number,,,Đồng hồ,,
TC-FR14-07,GET /api/categories,FR14,Newly created category appears in list,200,true,,,id;name,id:number;name:string,,,Đồng hồ,,
TC-FR14-08,POST /api/categories,FR14,Create category with no body records actual behavior,400/OBSERVE,,,,,,,,,,
TC-FR14-09,POST /api/categories,FR14,Create category without name records actual behavior,400/OBSERVE,,,,,,,,,,
TC-FR14-10,POST /api/categories,FR14,Create category with empty name may succeed; flag defect if accepted,200,,,,name,string,,,,,
TC-FR14-11,POST /api/categories,FR14,Create category with name=null records actual behavior,200/OBSERVE,,,,name,null,,,,,
TC-FR14-12,POST /api/categories,FR14,Create category with numeric name records actual behavior,200/OBSERVE,,,,name,number,,,,,
TC-FR14-13,POST /api/categories,FR14,Create category with 2000-character name records behavior without crash,200/OBSERVE,,,,name,string,,,,,
TC-FR14-14,POST /api/categories,FR14,Create category with Vietnamese Unicode name preserves text,200,,,,name,string,,,Thiết bị gia dụng,,
TC-FR14-15,POST /api/categories,FR14,Create category with special characters is stored without 500,200,,,,name,string,,,<script>alert(1)</script>,,
TC-FR14-16,POST /api/categories,FR14,Duplicate existing category name is accepted; flag missing uniqueness,200,,,,name,string,,,Laptop,,
TC-FR14-17,POST /api/categories,FR14,Repeated duplicate names create multiple identical categories,200,,,,,,,,,,
TC-FR14-18,PUT /api/categories/:id,FR14,Update existing category successfully,200,,,,message,string,,3,Phụ kiện điện tử,,
TC-FR14-19,PUT /api/categories/:id,FR14,Update nonexistent category records actual behavior; expected 404 if checked,404/OBSERVE,,,,,,,,,,
TC-FR14-20,PUT /api/categories/:id,FR14,Update with id=0 records behavior,200/OBSERVE,,,,,number,,0,,,
TC-FR14-21,PUT /api/categories/:id,FR14,Update with negative id does not unexplained 500,200/OBSERVE,,,,,number,,-1,,,
TC-FR14-22,PUT /api/categories/:id,FR14,Update with non-numeric id does not unexplained 500,200/OBSERVE,,,,,,,,,,
TC-FR14-23,PUT /api/categories/:id,FR14,Update name to empty string may succeed; flag defect if accepted,200,,,,name,string,,2,,,
TC-FR14-24a,PUT /api/categories/:id,FR14,Update name=null is tested independently,200/OBSERVE,,,,name,null,,2,,,
TC-FR14-24b,PUT /api/categories/:id,FR14,Update name as number is tested independently,200/OBSERVE,,,,name,number,,2,,,
TC-FR14-25,PUT /api/categories/:id,FR14,Update name to another category existing name; flag duplicate if accepted,200,,,,name,string,,2,Phụ kiện,,
TC-FR14-26,DELETE /api/categories/:id,FR14,Delete existing unreferenced category successfully,200,,,,message,string,,,,,
TC-FR14-27,DELETE /api/categories/:id,FR14,Delete nonexistent category records actual behavior; expected 404 if checked,404/OBSERVE,,,,,,,999999,,,
TC-FR14-28,DELETE /api/categories/:id,FR14,Delete id=0 records behavior without unexplained 500,200/OBSERVE,,,,,,,0,,,
TC-FR14-29,DELETE /api/categories/:id,FR14,Delete negative id records behavior without unexplained 500,200/OBSERVE,,,,,,,-1,,,
TC-FR14-30,DELETE /api/categories/:id,FR14,Delete non-numeric id records behavior without unexplained 500,200/OBSERVE,,,,,,,abc,,,
TC-FR14-31,DELETE /api/categories/:id,FR14,Delete category referenced by products and verify both affected products,200/OBSERVE,,,,id;category_id,id:number;category_id:number,,1,,,
TC-FR14-32a,POST /api/categories,FR14,Create category without token is unauthorized,401,,,,,,,,,,
TC-FR14-32b,PUT /api/categories/:id,FR14,Update category without token is unauthorized,401,,,,,,,1,,,
TC-FR14-32c,DELETE /api/categories/:id,FR14,Delete category without token is unauthorized,401,,,,,,,1,,,
TC-FR14-33a,POST /api/categories,FR14,Create category with invalid token is forbidden,403,,,,,,,,,,
TC-FR14-33b,PUT /api/categories/:id,FR14,Update category with invalid token is forbidden,403,,,,,,,1,,,
TC-FR14-33c,DELETE /api/categories/:id,FR14,Delete category with invalid token is forbidden,403,,,,,,,1,,,
TC-FR14-34a,POST /api/categories,FR14,Normal user can create category despite non-admin role; critical authorization defect,200,,,,id,number,,,,,
TC-FR14-34b,PUT /api/categories/:id,FR14,Normal user can update category despite non-admin role; critical authorization defect,200,,,,message,string,,1,,,
TC-FR14-34c,DELETE /api/categories/:id,FR14,Normal user can delete category despite non-admin role; critical authorization defect,200,,,,message,string,,1,,,
TC-FR14-35,POST /api/categories,FR14,"Admin token baseline: POST, PUT and DELETE all succeed",200,,,,,,,,,,
TC-FR14-36,GET /api/categories,FR14,"After resetting DB empty, category list returns empty array",200,true,true,0,,,,,,,
